case_id,reason,gt_lesions,hit_lesions_final,gt_voxels_total,gt_component_voxels,gt_boxes_zyxzyx,stage1_all_hit_gt_lesions,stage1_all_pred_components,postprocess_prompts,postprocess_gt_prompts,kept_prompts_obj_ge_020,kept_gt_prompts_obj_ge_020,max_objectness_any_prompt,max_objectness_gt_prompt,final_dice,final_pred_components,final_fp_components,final_pred_voxels,prompt_details
10106_1000106,E_multi_lesion_partial_hit,2,1,393,303;90,"[29,35,22,33,42,54];[32,38,29,37,24,28]",2,3,3,2,2,2,0.930490255355835,0.930490255355835,0.002940311673037342,3,2,3008,r1:gt=1 obj=0.930 maxp=1.000 vox=1380 kept=1 | r2:gt=1 obj=0.755 maxp=0.999 vox=4033 kept=1 | r3:gt=0 obj=0.189 maxp=0.834 vox=243 kept=0
10334_1000340,A_stage1_or_postprocess_no_gt_prompt,1,0,87,87,"[26,29,57,62,52,61]",1,4,1,0,0,0,0.0949302613735199,-1.0,0.0,0,0,0,r1:gt=0 obj=0.095 maxp=0.986 vox=1610 kept=0
10433_1000441,A_stage1_or_postprocess_no_gt_prompt,1,0,264,264,"[38,42,32,41,43,57]",1,5,3,0,1,0,0.32471325993537903,-1.0,0.0,1,1,660,r1:gt=0 obj=0.325 maxp=0.960 vox=890 kept=1 | r2:gt=0 obj=0.194 maxp=0.955 vox=851 kept=0 | r3:gt=0 obj=0.141 maxp=0.510 vox=128 kept=0
10605_1000619,B_objectness_filtered_gt_prompt,1,0,555,555,"[2,14,52,66,54,67]",1,7,5,1,0,0,0.1863861083984375,0.17879141867160797,0.0,0,0,0,r1:gt=0 obj=0.151 maxp=0.848 vox=592 kept=0 | r2:gt=0 obj=0.170 maxp=0.837 vox=958 kept=0 | r3:gt=0 obj=0.186 maxp=0.738 vox=638 kept=0 | r4:gt=0 obj=0.148 maxp=0.654 vox=429 kept=0 | r5:gt=1 obj=0.179 maxp=0.527 vox=95 kept=0
10651_1000667,B_objectness_filtered_gt_prompt,1,0,485,485,"[13,20,34,47,33,44]",1,7,3,1,0,0,0.10522530227899551,0.10522530227899551,0.0,0,0,0,r1:gt=1 obj=0.105 maxp=0.965 vox=703 kept=0 | r2:gt=0 obj=0.098 maxp=0.844 vox=352 kept=0 | r3:gt=0 obj=0.095 maxp=0.832 vox=304 kept=0
10700_1000716,B_objectness_filtered_gt_prompt,1,0,276,276,"[8,14,31,38,34,42]",1,2,1,1,0,0,0.09905453771352768,0.09905453771352768,0.0,0,0,0,r1:gt=1 obj=0.099 maxp=0.929 vox=476 kept=0
10728_1000744,B_objectness_filtered_gt_prompt,1,0,1935,1935,"[14,44,37,55,42,64]",1,4,2,1,0,0,0.12587228417396545,0.12587228417396545,0.0,0,0,0,r1:gt=0 obj=0.126 maxp=0.734 vox=292 kept=0 | r2:gt=1 obj=0.126 maxp=0.730 vox=392 kept=0
10915_1000932,A_stage1_or_postprocess_no_gt_prompt,1,0,66,66,"[14,20,39,43,29,33]",0,1,1,0,1,0,0.9441667199134827,-1.0,0.0,1,1,1672,r1:gt=0 obj=0.944 maxp=1.000 vox=2812 kept=1
11009_1001029,A_stage1_or_postprocess_no_gt_prompt,1,0,400,400,"[45,56,65,74,23,35]",0,3,2,0,1,0,0.22406071424484253,-1.0,0.0,1,1,1258,r1:gt=0 obj=0.224 maxp=0.998 vox=2229 kept=1 | r2:gt=0 obj=0.140 maxp=0.968 vox=693 kept=0
11143_1001166,A_stage1_or_postprocess_no_gt_prompt,1,0,96,96,"[24,28,35,41,27,35]",0,2,1,0,0,0,0.1933434009552002,-1.0,0.0,0,0,0,r1:gt=0 obj=0.193 maxp=0.855 vox=933 kept=0
11231_1001254,A_stage1_or_postprocess_no_gt_prompt,1,0,84,84,"[20,23,40,46,18,25]",0,1,1,0,0,0,0.11435408890247345,-1.0,0.0,0,0,0,r1:gt=0 obj=0.114 maxp=0.783 vox=143 kept=0
11258_1001281,D_refined_mask_missed_gt_despite_kept_prompt,1,0,444,444,"[17,20,34,52,17,35]",1,2,1,1,1,1,0.910211443901062,0.910211443901062,0.0,2,2,992,r1:gt=1 obj=0.910 maxp=1.000 vox=3985 kept=1
11280_1001303,B_objectness_filtered_gt_prompt,1,0,1120,1120,"[18,48,49,62,55,77]",1,2,2,1,0,0,0.11351436376571655,0.11351436376571655,0.0,0,0,0,r1:gt=0 obj=0.098 maxp=0.784 vox=223 kept=0 | r2:gt=1 obj=0.114 maxp=0.610 vox=164 kept=0
11284_1001307,B_objectness_filtered_gt_prompt,1,0,2708,2708,"[8,25,16,41,21,42]",1,1,1,1,0,0,0.16352200508117676,0.16352200508117676,0.0,0,0,0,r1:gt=1 obj=0.164 maxp=0.982 vox=684 kept=0
11357_1001380,A_stage1_or_postprocess_no_gt_prompt,1,0,415,415,"[31,41,59,66,17,35]",0,4,1,0,0,0,0.11651188880205154,-1.0,0.0,0,0,0,r1:gt=0 obj=0.117 maxp=0.795 vox=385 kept=0
11425_1001449,E_multi_lesion_partial_hit,2,1,20625,20250;375,"[17,50,15,55,24,62];[32,38,52,63,54,63]",2,3,1,1,1,1,0.9470799565315247,0.9470799565315247,0.8165618686582071,1,0,23428,r1:gt=1 obj=0.947 maxp=1.000 vox=28738 kept=1
