case_id,raw_components,kept_prompts,gt_prompts,gt_voxels
10344_1000350,6,3,0,0
11453_1001477,5,2,0,0
10801_1000817,5,2,0,0
10946_1000965,12,3,0,0
10701_1000717,20,7,1,539
10380_1000386,4,1,1,4083
10678_1000694,8,2,0,0
11096_1001119,20,8,0,0
10869_1000885,16,7,0,0
10476_1000484,10,3,0,0
10776_1000792,9,3,0,0
10058_1000058,6,3,0,0
10751_1000767,12,3,0,0
11025_1001045,12,4,0,0
10010_1000010,16,5,0,0
10602_1000616,13,6,0,0
10972_1000991,12,5,0,0
11181_1001204,8,3,1,3183
10330_1000336,12,3,0,0
10148_1000150,4,1,1,39709
10413_1000420,4,1,0,0
10351_1000357,7,2,0,0
10592_1000606,14,5,0,0
11133_1001156,16,4,2,2394
11406_1001430,9,3,0,0
11437_1001461,12,4,2,1243
10193_1000197,8,2,0,0
11019_1001039,11,4,0,0
11360_1001383,8,3,0,0
10133_1000135,15,7,0,0
11206_1001229,22,8,0,0
10355_1000361,10,4,1,1698
10993_1001012,5,2,1,912
11003_1001022,13,6,0,0
10279_1000284,25,7,0,0
11197_1001220,16,5,0,0
10600_1000614,4,1,0,0
10951_1000970,4,1,0,0
10994_1001013,20,6,0,0
10687_1000703,8,2,0,576
10684_1000700,4,1,1,5391
10163_1000166,8,2,0,0
10424_1000432,5,2,1,10617
10417_1000424,9,3,0,0
10055_1000055,10,2,0,0
11464_1001488,10,5,0,0
10699_1000715,8,2,1,3384
11339_1001362,8,2,0,0
10937_1000956,13,5,0,0
11199_1001222,8,2,0,0
11135_1001158,9,3,0,0
10928_1000945,16,5,0,0
10398_1000404,4,1,1,5679
10581_1000595,8,2,0,0
10848_1000864,13,6,0,0
10873_1000889,8,2,1,7923
10953_1000972,4,1,1,1347
10154_1000157,4,1,0,0
10842_1000858,4,1,1,18795
11031_1001051,12,4,0,0
10792_1000808,16,7,0,0
11405_1001429,10,4,0,0
10383_1000389,4,1,1,4464
10986_1001005,8,2,0,0
10642_1000658,7,3,0,0
10782_1000798,14,5,0,0
10332_1000338,7,3,0,0
11260_1001283,16,6,2,2997
10520_1000530,16,5,1,714
10593_1000607,6,2,0,0
10659_1000675,4,2,0,0
10008_1000008,9,3,1,327
11469_1001493,16,4,0,0
10691_1000707,11,4,0,0
11418_1001442,12,3,0,0
10535_1000545,28,8,0,0
11012_1001032,4,1,0,0
10178_1000181,15,7,0,0
10438_1000446,12,6,0,0
10603_1000617,10,5,0,0
11449_1001473,21,8,0,0
10047_1000047,30,8,0,0
11286_1001309,14,7,0,0
11470_1001494,13,4,0,0
11215_1001238,11,4,0,0
10814_1000830,5,2,0,0
10750_1000766,8,2,0,0
10401_1000407,10,3,0,0
10780_1000796,20,6,0,0
10733_1000749,19,8,0,0
10754_1000770,5,2,1,2791
10565_1000577,6,3,1,439
11395_1001419,9,3,0,0
10709_1000725,12,3,0,0
10901_1000917,9,5,2,930
10623_1000637,15,8,0,0
10459_1000467,9,3,1,1319
10541_1000552,6,2,0,0
10153_1000156,19,8,0,0
10240_1000244,5,2,0,0
10112_1000112,9,3,1,348
11246_1001269,10,4,0,0
10987_1001006,24,8,0,0
11098_1001121,12,4,0,0
10924_1000941,9,3,0,0
10518_1000528,20,6,0,0
10387_1000393,17,7,0,0
10957_1000976,8,2,1,447
10289_1000295,5,2,1,1041
11338_1001361,8,2,1,1098
10891_1000907,4,1,0,0
11397_1001421,24,7,1,605
10074_1000074,4,1,1,5592
11292_1001315,15,6,0,0
10029_1000029,22,8,1,114
10186_1000189,8,3,0,0
11340_1001363,34,8,0,0
10510_1000519,16,8,1,212
10135_1000137,4,1,1,3469
10392_1000398,8,3,1,1005
10775_1000791,13,4,2,519
